reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value,location_name,model_id
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.01,46,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.025,54,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.05,60,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.1,69,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.15,74,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.2,79,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.25,84,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.3,90,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.35,94,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.4,100,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.45,104,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.5,110,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.55,115,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.6,123,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.65,129,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.7,137,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.75,145,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.8,157,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.85,169,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.9,182,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.95,213,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.975,237,Alabama,Ensemble
2026-02-21,01,0,wk inc flu hosp,2026-02-21,quantile,0.99,272,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.01,28,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.025,35,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.05,42,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.1,50,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.15,58,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.2,62,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.25,67,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.3,74,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.35,80,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.4,87,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.45,91,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.5,99,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.55,104,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.6,112,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.65,123,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.7,132,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.75,144,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.8,160,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.85,174,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.9,196,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.95,230,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.975,267,Alabama,Ensemble
2026-02-21,01,1,wk inc flu hosp,2026-02-28,quantile,0.99,336,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.01,16,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.025,22,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.05,28,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.1,37,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.15,43,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.2,48,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.25,52,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.3,59,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.35,63,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.4,70,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.45,75,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.5,83,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.55,89,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.6,97,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.65,107,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.7,119,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.75,133,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.8,147,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.85,163,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.9,186,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.95,228,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.975,277,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.99,364,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.01,11,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.025,17,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.05,22,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.1,31,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.15,37,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.2,41,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.25,46,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.3,51,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.35,57,Alabama,Ensemble
