reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value,location_name,model_id
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.01,7,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.025,8,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.05,10,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.1,12,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.15,14,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.2,16,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.25,18,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.3,20,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.35,21,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.4,23,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.45,24,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.5,27,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.55,29,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.6,31,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.65,32,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.7,35,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.75,37,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.8,40,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.85,44,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.9,49,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.95,56,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.975,65,Alabama,Ensemble
2026-04-04,01,0,wk inc flu hosp,2026-04-04,quantile,0.99,76,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.01,4,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.025,5,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.05,6,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.1,8,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.15,10,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.2,11,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.25,13,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.3,14,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.35,16,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.4,17,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.45,19,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.5,22,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.55,23,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.6,25,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.65,27,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.7,30,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.75,32,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.8,35,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.85,40,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.9,45,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.95,54,Alabama,Ensemble
2026-04-04,01,1,wk inc flu hosp,2026-04-11,quantile,0.975,63,Alabama,Ensemble
