reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value,location_name,model_id
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.01,240,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.025,267,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.05,296,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.1,335,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.15,361,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.2,382,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.25,402,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.3,419,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.35,435,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.4,449,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.45,463,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.5,477,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.55,490,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.6,505,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.65,520,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.7,538,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.75,557,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.8,580,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.85,608,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.9,647,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.95,712,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.975,778,Alabama,Ensemble
2026-01-10,01,0,wk inc flu hosp,2026-01-10,quantile,0.99,859,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.01,184,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.025,211,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.05,241,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.1,282,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.15,316,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.2,342,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.25,369,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.3,392,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.35,414,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.4,435,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.45,454,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.5,473,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.55,491,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.6,510,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.65,530,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.7,552,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.75,580,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.8,616,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.85,659,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.9,719,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.95,819,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.975,919,Alabama,Ensemble
2026-01-10,01,1,wk inc flu hosp,2026-01-17,quantile,0.99,1023,Alabama,Ensemble
2026-01-10,01,2,wk inc flu hosp,2026-01-24,quantile,0.01,150,Alabama,Ensemble
2026-01-10,01,2,wk inc flu hosp,2026-01-24,quantile,0.025,175,Alabama,Ensemble
2026-01-10,01,2,wk inc flu hosp,2026-01-24,quantile,0.05,206,Alabama,Ensemble
2026-01-10,01,2,wk inc flu hosp,2026-01-24,quantile,0.1,248,Alabama,Ensemble
2026-01-10,01,2,wk inc flu hosp,2026-01-24,quantile,0.15,283,Alabama,Ensemble
2026-01-10,01,2,wk inc flu hosp,2026-01-24,quantile,0.2,310,Alabama,Ensemble
2026-01-10,01,2,wk inc flu hosp,2026-01-24,quantile,0.25,347,Alabama,Ensemble
2026-01-10,01,2,wk inc flu hosp,2026-01-24,quantile,0.3,372,Alabama,Ensemble
