reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value,location_name,model_id
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.01,14,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.025,17,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.05,20,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.1,24,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.15,26,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.2,29,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.25,31,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.3,33,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.35,35,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.4,37,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.45,39,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.5,43,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.55,45,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.6,47,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.65,50,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.7,53,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.75,56,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.8,59,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.85,64,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.9,70,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.95,79,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.975,90,Alabama,Ensemble
2025-11-29,01,0,wk inc flu hosp,2025-11-29,quantile,0.99,106,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.01,14,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.025,18,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.05,21,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.1,26,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.15,30,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.2,33,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.25,36,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.3,39,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.35,42,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.4,45,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.45,49,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.5,54,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.55,57,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.6,60,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.65,64,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.7,68,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.75,73,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.8,79,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.85,86,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.9,96,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.95,115,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.975,137,Alabama,Ensemble
2025-11-29,01,1,wk inc flu hosp,2025-12-06,quantile,0.99,177,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.01,14,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.025,18,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.05,22,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.1,27,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.15,33,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.2,37,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.25,41,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.3,45,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.35,50,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.4,55,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.45,60,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.5,66,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.55,71,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.6,76,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.65,82,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.7,88,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.75,96,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.8,105,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.85,116,Alabama,Ensemble
2025-11-29,01,2,wk inc flu hosp,2025-12-13,quantile,0.9,131,Alabama,Ensemble
